State,Residence_Type,Gender,Age group,Attendance ratio
J & K,Rural,Female,11-13 years,95.4
J & K,Rural,Female,14-17 years,87
J & K,Rural,Female,18-23 years,40.3
J & K,Rural,Female,24-29 years,0.8
J & K,Rural,Female,30-35 years,0
J & K,Rural,Female,3-35 years,45.1
J & K,Rural,Female,3-5 years,23.7
J & K,Rural,Female,5-29 years,55.7
J & K,Rural,Female,6-10 years,97.8
J & K,Rural,Male,11-13 years,98.4
J & K,Rural,Male,14-17 years,89
J & K,Rural,Male,18-23 years,47.6
J & K,Rural,Male,24-29 years,2.7
J & K,Rural,Male,30-35 years,0
J & K,Rural,Male,3-35 years,50.4
J & K,Rural,Male,3-5 years,24.9
J & K,Rural,Male,5-29 years,63.9
J & K,Rural,Male,6-10 years,98.5
J & K,Rural,Person,11-13 years,97.1
J & K,Rural,Person,14-17 years,88.1
J & K,Rural,Person,18-23 years,44
J & K,Rural,Person,24-29 years,1.7
J & K,Rural,Person,30-35 years,0
J & K,Rural,Person,3-35 years,48
J & K,Rural,Person,3-5 years,24.4
J & K,Rural,Person,5-29 years,60.1
J & K,Rural,Person,6-10 years,98.2
J & K,Total,Female,11-13 years,96.1
J & K,Total,Female,14-17 years,86.9
J & K,Total,Female,18-23 years,43.6
J & K,Total,Female,24-29 years,2.5
J & K,Total,Female,30-35 years,0
J & K,Total,Female,3-35 years,45.5
J & K,Total,Female,3-5 years,28.4
J & K,Total,Female,5-29 years,56.4
J & K,Total,Female,6-10 years,97.6
J & K,Total,Male,11-13 years,98.1
J & K,Total,Male,14-17 years,88
J & K,Total,Male,18-23 years,49
J & K,Total,Male,24-29 years,3
J & K,Total,Male,30-35 years,0
J & K,Total,Male,3-35 years,50.5
J & K,Total,Male,3-5 years,28.1
J & K,Total,Male,5-29 years,63.5
J & K,Total,Male,6-10 years,98.1
J & K,Total,Person,11-13 years,97.2
J & K,Total,Person,14-17 years,87.6
J & K,Total,Person,18-23 years,46.4
J & K,Total,Person,24-29 years,2.7
J & K,Total,Person,30-35 years,0
J & K,Total,Person,3-35 years,48.2
J & K,Total,Person,3-5 years,28.2
J & K,Total,Person,5-29 years,60.2
J & K,Total,Person,6-10 years,97.9
J & K,Urban,Female,11-13 years,98.6
J & K,Urban,Female,14-17 years,86.7
J & K,Urban,Female,18-23 years,57.8
J & K,Urban,Female,24-29 years,8.2
J & K,Urban,Female,30-35 years,0
J & K,Urban,Female,3-35 years,47.1
J & K,Urban,Female,3-5 years,47.3
J & K,Urban,Female,5-29 years,59
J & K,Urban,Female,6-10 years,96.6
J & K,Urban,Male,11-13 years,96.9
J & K,Urban,Male,14-17 years,84.3
J & K,Urban,Male,18-23 years,53
J & K,Urban,Male,24-29 years,4
J & K,Urban,Male,30-35 years,0
J & K,Urban,Male,3-35 years,51
J & K,Urban,Male,3-5 years,43.4
J & K,Urban,Male,5-29 years,62.3
J & K,Urban,Male,6-10 years,96.3
J & K,Urban,Person,11-13 years,97.6
J & K,Urban,Person,14-17 years,85.3
J & K,Urban,Person,18-23 years,54.9
J & K,Urban,Person,24-29 years,6.2
J & K,Urban,Person,30-35 years,0
J & K,Urban,Person,3-35 years,49.3
J & K,Urban,Person,3-5 years,45.2
J & K,Urban,Person,5-29 years,60.8
J & K,Urban,Person,6-10 years,96.5
Himachal Pradesh,Rural,Female,11-13 years,98.6
Himachal Pradesh,Rural,Female,14-17 years,93.5
Himachal Pradesh,Rural,Female,18-23 years,42.4
Himachal Pradesh,Rural,Female,24-29 years,2.1
Himachal Pradesh,Rural,Female,30-35 years,0.3
Himachal Pradesh,Rural,Female,3-35 years,51.3
Himachal Pradesh,Rural,Female,3-5 years,51.5
Himachal Pradesh,Rural,Female,5-29 years,62.3
Himachal Pradesh,Rural,Female,6-10 years,99.7
Himachal Pradesh,Rural,Male,11-13 years,99.8
Himachal Pradesh,Rural,Male,14-17 years,94.6
Himachal Pradesh,Rural,Male,18-23 years,39.8
Himachal Pradesh,Rural,Male,24-29 years,1.6
Himachal Pradesh,Rural,Male,30-35 years,0.1
Himachal Pradesh,Rural,Male,3-35 years,54.5
Himachal Pradesh,Rural,Male,3-5 years,54.9
Himachal Pradesh,Rural,Male,5-29 years,64.5
Himachal Pradesh,Rural,Male,6-10 years,100
Himachal Pradesh,Rural,Person,11-13 years,99.3
Himachal Pradesh,Rural,Person,14-17 years,94.1
Himachal Pradesh,Rural,Person,18-23 years,41.2
Himachal Pradesh,Rural,Person,24-29 years,1.8
Himachal Pradesh,Rural,Person,30-35 years,0.2
Himachal Pradesh,Rural,Person,3-35 years,52.9
Himachal Pradesh,Rural,Person,3-5 years,53.2
Himachal Pradesh,Rural,Person,5-29 years,63.4
Himachal Pradesh,Rural,Person,6-10 years,99.9
Himachal Pradesh,Total,Female,11-13 years,98.8
Himachal Pradesh,Total,Female,14-17 years,94.4
Himachal Pradesh,Total,Female,18-23 years,43.3
Himachal Pradesh,Total,Female,24-29 years,2.2
Himachal Pradesh,Total,Female,30-35 years,0.3
Himachal Pradesh,Total,Female,3-35 years,51.7
Himachal Pradesh,Total,Female,3-5 years,53.8
Himachal Pradesh,Total,Female,5-29 years,62.9
Himachal Pradesh,Total,Female,6-10 years,99.8
Himachal Pradesh,Total,Male,11-13 years,99.9
Himachal Pradesh,Total,Male,14-17 years,95
Himachal Pradesh,Total,Male,18-23 years,40.9
Himachal Pradesh,Total,Male,24-29 years,2.9
Himachal Pradesh,Total,Male,30-35 years,0
Himachal Pradesh,Total,Male,3-35 years,53.4
Himachal Pradesh,Total,Male,3-5 years,55.7
Himachal Pradesh,Total,Male,5-29 years,63.6
Himachal Pradesh,Total,Male,6-10 years,100
Himachal Pradesh,Total,Person,11-13 years,99.3
Himachal Pradesh,Total,Person,14-17 years,94.7
Himachal Pradesh,Total,Person,18-23 years,42.2
Himachal Pradesh,Total,Person,24-29 years,2.6
Himachal Pradesh,Total,Person,30-35 years,0.2
Himachal Pradesh,Total,Person,3-35 years,52.6
Himachal Pradesh,Total,Person,3-5 years,54.8
Himachal Pradesh,Total,Person,5-29 years,63.2
Himachal Pradesh,Total,Person,6-10 years,99.9
Himachal Pradesh,Urban,Female,11-13 years,100
Himachal Pradesh,Urban,Female,14-17 years,100
Himachal Pradesh,Urban,Female,18-23 years,52.4
Himachal Pradesh,Urban,Female,24-29 years,3.2
Himachal Pradesh,Urban,Female,30-35 years,0
Himachal Pradesh,Urban,Female,3-35 years,55.4
Himachal Pradesh,Urban,Female,3-5 years,98.5
Himachal Pradesh,Urban,Female,5-29 years,67.1
Himachal Pradesh,Urban,Female,6-10 years,100
Himachal Pradesh,Urban,Male,11-13 years,100
Himachal Pradesh,Urban,Male,14-17 years,99.4
Himachal Pradesh,Urban,Male,18-23 years,50.6
Himachal Pradesh,Urban,Male,24-29 years,9.8
Himachal Pradesh,Urban,Male,30-35 years,0
Himachal Pradesh,Urban,Male,3-35 years,45.4
Himachal Pradesh,Urban,Male,3-5 years,58.7
Himachal Pradesh,Urban,Male,5-29 years,55.1
Himachal Pradesh,Urban,Male,6-10 years,100
Himachal Pradesh,Urban,Person,11-13 years,100
Himachal Pradesh,Urban,Person,14-17 years,99.8
Himachal Pradesh,Urban,Person,18-23 years,51.5
Himachal Pradesh,Urban,Person,24-29 years,7.1
Himachal Pradesh,Urban,Person,30-35 years,0
Himachal Pradesh,Urban,Person,3-35 years,50.2
Himachal Pradesh,Urban,Person,3-5 years,65.1
Himachal Pradesh,Urban,Person,5-29 years,61.4
Himachal Pradesh,Urban,Person,6-10 years,100
Punjab,Rural,Female,11-13 years,97.5
Punjab,Rural,Female,14-17 years,84
Punjab,Rural,Female,18-23 years,30.3
Punjab,Rural,Female,24-29 years,3
Punjab,Rural,Female,30-35 years,0
Punjab,Rural,Female,3-35 years,41.6
Punjab,Rural,Female,3-5 years,56
Punjab,Rural,Female,5-29 years,51.6
Punjab,Rural,Female,6-10 years,98.8
Punjab,Rural,Male,11-13 years,99.1
Punjab,Rural,Male,14-17 years,85.7
Punjab,Rural,Male,18-23 years,30
Punjab,Rural,Male,24-29 years,2.8
Punjab,Rural,Male,30-35 years,0.1
Punjab,Rural,Male,3-35 years,48
Punjab,Rural,Male,3-5 years,63.1
Punjab,Rural,Male,5-29 years,57.5
Punjab,Rural,Male,6-10 years,99.4
Punjab,Rural,Person,11-13 years,98.4
Punjab,Rural,Person,14-17 years,85
Punjab,Rural,Person,18-23 years,30.2
Punjab,Rural,Person,24-29 years,2.9
Punjab,Rural,Person,30-35 years,0
Punjab,Rural,Person,3-35 years,45.1
Punjab,Rural,Person,3-5 years,59.8
Punjab,Rural,Person,5-29 years,54.8
Punjab,Rural,Person,6-10 years,99.1
Punjab,Total,Female,11-13 years,98.2
Punjab,Total,Female,14-17 years,84
Punjab,Total,Female,18-23 years,32.9
Punjab,Total,Female,24-29 years,2.4
Punjab,Total,Female,30-35 years,0.4
Punjab,Total,Female,3-35 years,40.1
Punjab,Total,Female,3-5 years,57.9
Punjab,Total,Female,5-29 years,50.4
Punjab,Total,Female,6-10 years,94.4
Punjab,Total,Male,11-13 years,98.9
Punjab,Total,Male,14-17 years,87.8
Punjab,Total,Male,18-23 years,31
Punjab,Total,Male,24-29 years,2.2
Punjab,Total,Male,30-35 years,0
Punjab,Total,Male,3-35 years,46.1
Punjab,Total,Male,3-5 years,64.5
Punjab,Total,Male,5-29 years,55.7
Punjab,Total,Male,6-10 years,98.8
Punjab,Total,Person,11-13 years,98.6
Punjab,Total,Person,14-17 years,86.3
Punjab,Total,Person,18-23 years,31.8
Punjab,Total,Person,24-29 years,2.3
Punjab,Total,Person,30-35 years,0.2
Punjab,Total,Person,3-35 years,43.4
