State,Residence_Type,Gender,Attendance type,Level of education,Attendance ratio (%)
Jammu And Kashmir,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,78.7
Jammu And Kashmir,Rural,Female,Net Attendance Ratio,Higher Secondary Level,50.9
Jammu And Kashmir,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,26.4
Jammu And Kashmir,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,24.9
Jammu And Kashmir,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,99.2
Jammu And Kashmir,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.7
Jammu And Kashmir,Rural,Female,Gross Attendance Ratio,Primary Level,95.8
Jammu And Kashmir,Rural,Female,Net Attendance Ratio,Primary Level,84.9
Jammu And Kashmir,Rural,Female,Gross Attendance Ratio,Secondary Level,112.5
Jammu And Kashmir,Rural,Female,Net Attendance Ratio,Secondary Level,67.0
Jammu And Kashmir,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,106.1
Jammu And Kashmir,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,81.8
Jammu And Kashmir,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,69.8
Jammu And Kashmir,Rural,Male,Net Attendance Ratio,Higher Secondary Level,44.7
Jammu And Kashmir,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,33.7
Jammu And Kashmir,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,30.5
Jammu And Kashmir,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.7
Jammu And Kashmir,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.8
Jammu And Kashmir,Rural,Male,Gross Attendance Ratio,Primary Level,105.6
Jammu And Kashmir,Rural,Male,Net Attendance Ratio,Primary Level,90.5
Jammu And Kashmir,Rural,Male,Gross Attendance Ratio,Secondary Level,120.6
Jammu And Kashmir,Rural,Male,Net Attendance Ratio,Secondary Level,72.9
Jammu And Kashmir,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,93.7
Jammu And Kashmir,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,76.9
Jammu And Kashmir,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,73.9
Jammu And Kashmir,Rural,Person,Net Attendance Ratio,Higher Secondary Level,47.6
Jammu And Kashmir,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,30.1
Jammu And Kashmir,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,27.7
Jammu And Kashmir,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,100.7
Jammu And Kashmir,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.9
Jammu And Kashmir,Rural,Person,Gross Attendance Ratio,Primary Level,101.4
Jammu And Kashmir,Rural,Person,Net Attendance Ratio,Primary Level,88.1
Jammu And Kashmir,Rural,Person,Gross Attendance Ratio,Secondary Level,117.1
Jammu And Kashmir,Rural,Person,Net Attendance Ratio,Secondary Level,70.4
Jammu And Kashmir,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,99.1
Jammu And Kashmir,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,79.0
Jammu And Kashmir,Total,Female,Gross Attendance Ratio,Higher Secondary Level,81.2
Jammu And Kashmir,Total,Female,Net Attendance Ratio,Higher Secondary Level,49.5
Jammu And Kashmir,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,31.1
Jammu And Kashmir,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,27.5
Jammu And Kashmir,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,99.0
Jammu And Kashmir,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.1
Jammu And Kashmir,Total,Female,Gross Attendance Ratio,Primary Level,96.9
Jammu And Kashmir,Total,Female,Net Attendance Ratio,Primary Level,85.2
Jammu And Kashmir,Total,Female,Gross Attendance Ratio,Secondary Level,110.2
Jammu And Kashmir,Total,Female,Net Attendance Ratio,Secondary Level,67.0
Jammu And Kashmir,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,103.1
Jammu And Kashmir,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,81.4
Jammu And Kashmir,Total,Male,Gross Attendance Ratio,Higher Secondary Level,73.6
Jammu And Kashmir,Total,Male,Net Attendance Ratio,Higher Secondary Level,43.3
Jammu And Kashmir,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,34.9
Jammu And Kashmir,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,31.3
Jammu And Kashmir,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.1
Jammu And Kashmir,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.2
Jammu And Kashmir,Total,Male,Gross Attendance Ratio,Primary Level,105.6
Jammu And Kashmir,Total,Male,Net Attendance Ratio,Primary Level,90.2
Jammu And Kashmir,Total,Male,Gross Attendance Ratio,Secondary Level,119.9
Jammu And Kashmir,Total,Male,Net Attendance Ratio,Secondary Level,71.5
Jammu And Kashmir,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,92.2
Jammu And Kashmir,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,76.2
Jammu And Kashmir,Total,Person,Gross Attendance Ratio,Higher Secondary Level,77.0
Jammu And Kashmir,Total,Person,Net Attendance Ratio,Higher Secondary Level,46.1
Jammu And Kashmir,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,33.1
Jammu And Kashmir,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,29.5
Jammu And Kashmir,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,100.2
Jammu And Kashmir,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.3
Jammu And Kashmir,Total,Person,Gross Attendance Ratio,Primary Level,101.9
Jammu And Kashmir,Total,Person,Net Attendance Ratio,Primary Level,88.1
