State,Residence_Type,Gender,Course type,Distribution of students pursuing various courses (%)
J & K,Rural,Female,all (incl. n.r.),100
J & K,Rural,Female,commerce,0.5
J & K,Rural,Female,courses from ITI/ recognised vocational institutes,0.3
J & K,Rural,Female,engineering,0.2
J & K,Rural,Female,humanities,17
J & K,Rural,Female,IT/ computer courses,0.2
J & K,Rural,Female,law,0
J & K,Rural,Female,management,0
J & K,Rural,Female,medicine,1.3
J & K,Rural,Female,others*,1.4
J & K,Rural,Female,science,5
J & K,Rural,Female,up to X,74
J & K,Rural,Male,all (incl. n.r.),100
J & K,Rural,Male,commerce,1.4
J & K,Rural,Male,courses from ITI/ recognised vocational institutes,0.3
J & K,Rural,Male,engineering,0.5
J & K,Rural,Male,humanities,12.1
J & K,Rural,Male,IT/ computer courses,0.3
J & K,Rural,Male,law,0
J & K,Rural,Male,management,0.1
J & K,Rural,Male,medicine,1.9
J & K,Rural,Male,others*,1
J & K,Rural,Male,science,6.2
J & K,Rural,Male,up to X,76.2
J & K,Rural,Person,all (incl. n.r.),100
J & K,Rural,Person,commerce,1
J & K,Rural,Person,courses from ITI/ recognised vocational institutes,0.3
J & K,Rural,Person,engineering,0.4
J & K,Rural,Person,humanities,14.2
J & K,Rural,Person,IT/ computer courses,0.3
J & K,Rural,Person,law,0
J & K,Rural,Person,management,0.1
J & K,Rural,Person,medicine,1.6
J & K,Rural,Person,others*,1.1
J & K,Rural,Person,science,5.7
J & K,Rural,Person,up to X,75.3
J & K,Total,Female,all (incl. n.r.),100
J & K,Total,Female,commerce,1
J & K,Total,Female,courses from ITI/ recognised vocational institutes,0.6
J & K,Total,Female,engineering,0.4
J & K,Total,Female,humanities,16.7
J & K,Total,Female,IT/ computer courses,0.3
J & K,Total,Female,law,0.1
J & K,Total,Female,management,0.1
J & K,Total,Female,medicine,1.3
J & K,Total,Female,others*,1.5
J & K,Total,Female,science,5.3
J & K,Total,Female,up to X,72.8
J & K,Total,Male,all (incl. n.r.),100
J & K,Total,Male,commerce,1.7
J & K,Total,Male,courses from ITI/ recognised vocational institutes,0.3
J & K,Total,Male,engineering,0.9
J & K,Total,Male,humanities,13
J & K,Total,Male,IT/ computer courses,0.5
J & K,Total,Male,law,0.1
J & K,Total,Male,management,0.1
J & K,Total,Male,medicine,1.6
J & K,Total,Male,others*,0.9
J & K,Total,Male,science,6.1
J & K,Total,Male,up to X,74.9
J & K,Total,Person,all (incl. n.r.),100
J & K,Total,Person,commerce,1.4
J & K,Total,Person,courses from ITI/ recognised vocational institutes,0.4
J & K,Total,Person,engineering,0.6
J & K,Total,Person,humanities,14.6
J & K,Total,Person,IT/ computer courses,0.4
J & K,Total,Person,law,0.1
J & K,Total,Person,management,0.1
J & K,Total,Person,medicine,1.5
J & K,Total,Person,others*,1.2
J & K,Total,Person,science,5.8
J & K,Total,Person,up to X,74
J & K,Urban,Female,all (incl. n.r.),100
J & K,Urban,Female,commerce,2.6
J & K,Urban,Female,courses from ITI/ recognised vocational institutes,1.5
J & K,Urban,Female,engineering,0.9
J & K,Urban,Female,humanities,15.7
J & K,Urban,Female,IT/ computer courses,0.8
J & K,Urban,Female,law,0.3
J & K,Urban,Female,management,0.2
J & K,Urban,Female,medicine,1.4
J & K,Urban,Female,others*,2.2
J & K,Urban,Female,science,6.2
J & K,Urban,Female,up to X,68.2
J & K,Urban,Male,all (incl. n.r.),100
J & K,Urban,Male,commerce,2.7
J & K,Urban,Male,courses from ITI/ recognised vocational institutes,0.3
J & K,Urban,Male,engineering,2
J & K,Urban,Male,humanities,16.5
J & K,Urban,Male,IT/ computer courses,0.9
J & K,Urban,Male,law,0.2
J & K,Urban,Male,management,0.1
J & K,Urban,Male,medicine,0.6
J & K,Urban,Male,others*,0.8
J & K,Urban,Male,science,5.7
J & K,Urban,Male,up to X,70.2
J & K,Urban,Person,all (incl. n.r.),100
J & K,Urban,Person,commerce,2.7
J & K,Urban,Person,courses from ITI/ recognised vocational institutes,0.8
J & K,Urban,Person,engineering,1.5
J & K,Urban,Person,humanities,16.1
J & K,Urban,Person,IT/ computer courses,0.8
J & K,Urban,Person,law,0.3
J & K,Urban,Person,management,0.1
J & K,Urban,Person,medicine,0.9
J & K,Urban,Person,others*,1.4
J & K,Urban,Person,science,5.9
J & K,Urban,Person,up to X,69.3
Himachal Pradesh,Rural,Female,all (incl. n.r.),100
Himachal Pradesh,Rural,Female,commerce,3.2
Himachal Pradesh,Rural,Female,courses from ITI/ recognised vocational institutes,0.8
Himachal Pradesh,Rural,Female,engineering,0.1
Himachal Pradesh,Rural,Female,humanities,16.5
Himachal Pradesh,Rural,Female,IT/ computer courses,0.9
Himachal Pradesh,Rural,Female,law,0
Himachal Pradesh,Rural,Female,management,0
Himachal Pradesh,Rural,Female,medicine,0.8
Himachal Pradesh,Rural,Female,others*,1.4
Himachal Pradesh,Rural,Female,science,8.6
Himachal Pradesh,Rural,Female,up to X,67.8
Himachal Pradesh,Rural,Male,all (incl. n.r.),100
Himachal Pradesh,Rural,Male,commerce,3.7
Himachal Pradesh,Rural,Male,courses from ITI/ recognised vocational institutes,2.4
Himachal Pradesh,Rural,Male,engineering,0.6
Himachal Pradesh,Rural,Male,humanities,12.5
Himachal Pradesh,Rural,Male,IT/ computer courses,0.6
Himachal Pradesh,Rural,Male,law,0
Himachal Pradesh,Rural,Male,management,0.2
Himachal Pradesh,Rural,Male,medicine,0.3
Himachal Pradesh,Rural,Male,others*,0.7
Himachal Pradesh,Rural,Male,science,6.7
Himachal Pradesh,Rural,Male,up to X,72.1
Himachal Pradesh,Rural,Person,all (incl. n.r.),100
Himachal Pradesh,Rural,Person,commerce,3.5
Himachal Pradesh,Rural,Person,courses from ITI/ recognised vocational institutes,1.6
Himachal Pradesh,Rural,Person,engineering,0.4
Himachal Pradesh,Rural,Person,humanities,14.4
Himachal Pradesh,Rural,Person,IT/ computer courses,0.7
Himachal Pradesh,Rural,Person,law,0
Himachal Pradesh,Rural,Person,management,0.1
Himachal Pradesh,Rural,Person,medicine,0.5
Himachal Pradesh,Rural,Person,others*,1
Himachal Pradesh,Rural,Person,science,7.6
Himachal Pradesh,Rural,Person,up to X,70
Himachal Pradesh,Total,Female,all (incl. n.r.),100
Himachal Pradesh,Total,Female,commerce,3.1
Himachal Pradesh,Total,Female,courses from ITI/ recognised vocational institutes,0.7
Himachal Pradesh,Total,Female,engineering,0.2
Himachal Pradesh,Total,Female,humanities,16
Himachal Pradesh,Total,Female,IT/ computer courses,0.8
Himachal Pradesh,Total,Female,law,0.1
Himachal Pradesh,Total,Female,management,0.1
Himachal Pradesh,Total,Female,medicine,0.8
Himachal Pradesh,Total,Female,others*,1.4
Himachal Pradesh,Total,Female,science,9.1
Himachal Pradesh,Total,Female,up to X,67.7
Himachal Pradesh,Total,Male,all (incl. n.r.),100
Himachal Pradesh,Total,Male,commerce,3.7
Himachal Pradesh,Total,Male,courses from ITI/ recognised vocational institutes,2.3
Himachal Pradesh,Total,Male,engineering,1
Himachal Pradesh,Total,Male,humanities,12
Himachal Pradesh,Total,Male,IT/ computer courses,0.6
Himachal Pradesh,Total,Male,law,0.2
Himachal Pradesh,Total,Male,management,0.5
Himachal Pradesh,Total,Male,medicine,0.3
Himachal Pradesh,Total,Male,others*,0.9
Himachal Pradesh,Total,Male,science,6.9
Himachal Pradesh,Total,Male,up to X,71.6
Himachal Pradesh,Total,Person,all (incl. n.r.),100
Himachal Pradesh,Total,Person,commerce,3.4
Himachal Pradesh,Total,Person,courses from ITI/ recognised vocational institutes,1.5
Himachal Pradesh,Total,Person,engineering,0.6
Himachal Pradesh,Total,Person,humanities,14
Himachal Pradesh,Total,Person,IT/ computer courses,0.7
Himachal Pradesh,Total,Person,law,0.1
Himachal Pradesh,Total,Person,management,0.3
Himachal Pradesh,Total,Person,medicine,0.5
Himachal Pradesh,Total,Person,others*,1.1
Himachal Pradesh,Total,Person,science,8
Himachal Pradesh,Total,Person,up to X,69.7
Himachal Pradesh,Urban,Female,all (incl. n.r.),100
Himachal Pradesh,Urban,Female,commerce,1.8
Himachal Pradesh,Urban,Female,courses from ITI/ recognised vocational institutes,0.2
Himachal Pradesh,Urban,Female,engineering,0.5
Himachal Pradesh,Urban,Female,humanities,12.9
Himachal Pradesh,Urban,Female,IT/ computer courses,0.6
Himachal Pradesh,Urban,Female,law,0.7
Himachal Pradesh,Urban,Female,management,0.7
Himachal Pradesh,Urban,Female,medicine,0.8
Himachal Pradesh,Urban,Female,others*,1.4
Himachal Pradesh,Urban,Female,science,12.9
Himachal Pradesh,Urban,Female,up to X,67.5
Himachal Pradesh,Urban,Male,all (incl. n.r.),100
Himachal Pradesh,Urban,Male,commerce,4.1
Himachal Pradesh,Urban,Male,courses from ITI/ recognised vocational institutes,1.3
Himachal Pradesh,Urban,Male,engineering,4.2
Himachal Pradesh,Urban,Male,humanities,6.8
Himachal Pradesh,Urban,Male,IT/ computer courses,0.6
Himachal Pradesh,Urban,Male,law,1.4
Himachal Pradesh,Urban,Male,management,2.6
Himachal Pradesh,Urban,Male,medicine,0.1
Himachal Pradesh,Urban,Male,others*,3.3
Himachal Pradesh,Urban,Male,science,8.7
Himachal Pradesh,Urban,Male,up to X,67
Himachal Pradesh,Urban,Person,all (incl. n.r.),100
Himachal Pradesh,Urban,Person,commerce,2.9
Himachal Pradesh,Urban,Person,courses from ITI/ recognised vocational institutes,0.7
Himachal Pradesh,Urban,Person,engineering,2.2
Himachal Pradesh,Urban,Person,humanities,10
Himachal Pradesh,Urban,Person,IT/ computer courses,0.6
Himachal Pradesh,Urban,Person,law,1
Himachal Pradesh,Urban,Person,management,1.6
Himachal Pradesh,Urban,Person,medicine,0.4
Himachal Pradesh,Urban,Person,others*,2.3
Himachal Pradesh,Urban,Person,science,10.9
Himachal Pradesh,Urban,Person,up to X,67.2
Punjab,Rural,Female,all (incl. n.r.),100
Punjab,Rural,Female,commerce,2.1
Punjab,Rural,Female,courses from ITI/ recognised vocational institutes,0.6
Punjab,Rural,Female,engineering,0.5
Punjab,Rural,Female,humanities,11.9
Punjab,Rural,Female,IT/ computer courses,0.9
Punjab,Rural,Female,law,0
Punjab,Rural,Female,management,0.6
Punjab,Rural,Female,medicine,0.6
Punjab,Rural,Female,others*,1.7
Punjab,Rural,Female,science,1.8
Punjab,Rural,Female,up to X,79.4
Punjab,Rural,Male,all (incl. n.r.),100
Punjab,Rural,Male,commerce,1.6
Punjab,Rural,Male,courses from ITI/ recognised vocational institutes,1.1
Punjab,Rural,Male,engineering,1.5
Punjab,Rural,Male,humanities,13
