Total teachers,Male teachers,Female teachers,Regular teachers,Contract teachers,Part time teachers,Primary (1 to 5) class teachers,State
15430.0,5256.0,10174.0,11963.0,3000.0,467.0,5249.0,Andaman And Nicobar Islands
662353.0,332649.0,329704.0,633766.0,22826.0,5761.0,290069.0,Andhra Pradesh
55798.0,29346.0,26452.0,24284.0,30674.0,840.0,21067.0,Arunachal Pradesh
737467.0,437661.0,299777.0,614640.0,119605.0,3222.0,298176.0,Assam
1197447.0,719675.0,477766.0,1135240.0,58198.0,4009.0,365982.0,Bihar
10357.0,2023.0,8334.0,7770.0,2438.0,149.0,2947.0,Chandigarh
534705.0,279200.0,255445.0,484669.0,41051.0,8985.0,234569.0,Chhattisgarh
265224.0,70252.0,194972.0,203000.0,61606.0,618.0,90973.0,Delhi
34747.0,6964.0,27780.0,30222.0,3774.0,751.0,10752.0,Goa
771123.0,356099.0,415024.0,697982.0,72058.0,1083.0,334312.0,Gujarat
519411.0,199570.0,319827.0,331393.0,185249.0,2769.0,194663.0,Haryana
195154.0,93788.0,101366.0,133634.0,58803.0,2717.0,56233.0,Himachal Pradesh
365550.0,190357.0,175193.0,320350.0,44339.0,861.0,129922.0,Jammu And Kashmir
441818.0,267497.0,174319.0,261685.0,173153.0,6980.0,199357.0,Jharkhand
889906.0,375871.0,513658.0,865154.0,15697.0,9055.0,219618.0,Karnataka
587941.0,122113.0,465819.0,562563.0,23203.0,2175.0,190372.0,Kerala
15425.0,7106.0,8319.0,14104.0,1313.0,8.0,4702.0,Ladakh
267.0,124.0,143.0,243.0,24.0,0.0,86.0,Lakshadweep
1198268.0,649191.0,549077.0,1153912.0,40255.0,4101.0,487476.0,Madhya Pradesh
1540805.0,795454.0,745347.0,1394234.0,139948.0,6623.0,664577.0,Maharashtra
99055.0,45430.0,53625.0,62856.0,35260.0,939.0,42956.0,Manipur
123260.0,49198.0,74062.0,59022.0,63449.0,789.0,50764.0,Meghalaya
50018.0,26897.0,23121.0,19026.0,28994.0,1998.0,16295.0,Mizoram
79433.0,34639.0,44789.0,67875.0,11277.0,281.0,29244.0,Nagaland
729691.0,397393.0,332231.0,577317.0,139642.0,12732.0,300026.0,Odisha
33283.0,8359.0,24924.0,30989.0,2104.0,190.0,11471.0,Puducherry
588824.0,139663.0,449161.0,401699.0,187125.0,0.0,172814.0,Punjab
1541616.0,919795.0,621407.0,1401277.0,128618.0,11721.0,455352.0,Rajasthan
23185.0,9390.0,13794.0,14197.0,8965.0,23.0,10838.0,Sikkim
1136037.0,283333.0,852704.0,1002362.0,101468.0,32207.0,390947.0,Tamil Nadu
612640.0,243996.0,368644.0,564144.0,45880.0,2616.0,192030.0,Telangana
10201.0,3643.0,6558.0,6175.0,3698.0,328.0,4170.0,The Dadra And Nagar Haveli And Daman And Diu
88154.0,58746.0,29398.0,56029.0,31884.0,241.0,40074.0,Tripura
2871657.0,1593265.0,1277812.0,2271405.0,551817.0,48435.0,1463801.0,Uttar Pradesh
240739.0,108244.0,132495.0,219374.0,17567.0,3798.0,100659.0,Uttarakhand
1117641.0,634655.0,482869.0,930680.0,184255.0,2706.0,12762.0,West Bengal
