Households,Landless households deriving major part of their income from manual casual labour,Households with non-agricultural enterprises registered with government,Households paying income tax or professional tax ,Households with destitute or living on alms,Households with salaried job in government,Households with salaried job in public,Households with salaried job in private,Households with monthly income of highest earning member less than 5000,Households with monthly income of highest earning member between 5000 and 10000,Households with monthly income of highest earning member greater than 10000,Households having motorized two or three or four wheelers and fishing boats,Households owning un-irrigated land,Households owning irrigated land,Households owning other land,Households having no land but have kissan credit card,State
60147.0,10135.0,2966.0,12627.0,47.0,15605.0,851.0,8328.0,32609.0,11804.0,15734.0,15263.0,7961.0,4206.0,4128.0,182.0,Andaman And Nicobar Islands
13287228.0,6484010.0,312014.0,372037.0,23172.0,245975.0,42532.0,301747.0,10529688.0,2126191.0,610068.0,2576718.0,2683500.0,2125261.0,1295279.0,61496.0,Andhra Pradesh
133421.0,10173.0,3845.0000000000005,5631.0000000001,188.0,20185.999999999996,1154.0,2226.0,99161.0,17350.0000000001,16906.999999999898,53589.0,71118.0,28100.0,41651.0,178.00000000000003,Arunachal Pradesh
5932337.0,1861164.0,192935.0,434615.0,40672.0,465494.0,51611.0,234920.0,4535421.0,870802.0,525915.0,760842.0,2115891.0,1078990.0,722747.0,20133.0,Assam
19360329.0,10632115.0,316503.0,516864.0,37009.0,734524.0,153096.0,251902.0,13784809.0,4283995.0,1285488.0,2253735.0,4121813.0,5431139.0,2294782.0,95571.0,Bihar
15657.0,2690.0,1182.0,1779.0,17.0,1994.0,312.0,7139.0,7046.0,5119.0,3492.0,5796.0,235.0,334.0,200.0,30.0,Chandigarh
4529621.0,1692158.0,26187.0,87225.0,25368.0,205010.0,13840.0,31864.0,4102698.0,270720.0,152298.0,502267.9999999999,1995315.9999999998,274727.0,488300.99999999994,6231.000000000001,Chhattisgarh
276220.0,33189.0,26244.0,59921.0,430.0,39844.0,9609.0,118276.0,105195.0,91217.0,79241.0,188020.0,10424.0,9381.0,8628.0,984.0,Goa
7929296.0,2903559.0,617909.0,386730.0,28047.0,282763.0,97485.0,465078.0,5335011.0,1721536.0,868725.0,2519828.0,2576121.0,2245928.0,1020347.0,40848.0,Gujarat
3461662.0,1323790.0,253761.0,229172.0,10648.0,301587.0,27071.0,174907.0,2053515.0,847222.0,556458.0,1163131.0,864646.0,1372368.0,288088.0,13060.0,Haryana
1318837.0,83360.0,110415.0,134260.0,3314.0,299045.0,18347.0,120265.0,713512.0,288406.0,316918.0,257419.0,885155.0,504577.0,249537.0,4521.0,Himachal Pradesh
2492781.0,265533.0,99835.0,219976.0,8989.0,481923.0,11851.0,44475.0,1710699.0,346900.0,435128.0,255085.0,1532621.0,797917.0,650940.0,3896.0,Jammu And Kashmir
5351290.0,1270649.0,129779.0,267967.0,15420.0,256739.0,78884.0,126100.0,4043813.0,865467.0,426388.0,1044847.0,2817239.0,1494999.0,1535652.0,35003.0,Jharkhand
7544631.0,1624314.0,256324.0,669499.0,8846.0,278906.0,78825.0,321487.0,5260901.0,1656639.0,626152.0,1749459.0,3656687.0,2038458.0,1415140.0,29821.0,Karnataka
6897360.0,2784326.0,148416.0,443823.0,14883.0,475314.0,75181.0,418506.0,4898981.0,1162632.0,835746.0,2097208.0,1511881.0,401723.0,404920.0,14793.0,Kerala
11099156.0,4957684.0,86992.0,201078.0,57889.0,378190.0,56731.0,93858.0,9300275.0,1242978.0,555825.0,1803708.0,3754790.0,2826702.0,1241079.0,35368.99999999999,Madhya Pradesh
13212381.0,4787444.0,312143.0,642506.0,33584.0,669219.0,180408.0,550935.0,9532639.0,2357968.0,1318786.0,2758433.0,5356373.0,2665360.0,1705891.0,19703.0,Maharashtra
458495.0,73066.0,8046.0,36212.0,225.0,73666.0,3176.0,15554.0,291214.0,93857.0,73414.0,83755.0,95987.0,22414.0,41397.0,1753.0,Manipur
483359.0,166723.0,10879.0,30959.0,1029.0,43329.0,4551.0,13794.0,361643.0,77471.0,44240.0,60595.0,91324.0,51249.0,53582.0,2373.0,Meghalaya
115604.99999999999,9098.0,3861.0,11277.999999999898,93.99999999999999,10903.0,1192.0000000000998,5876.0,89019.00000000012,15646.0,10940.0000000001,16183.9999999999,20771.0,7057.000000000099,4570.000000000099,918.0000000001,Mizoram
228066.0,12757.0,4321.0,26868.0,455.0,38666.0,1816.0,6290.0,163271.0,33084.0,31711.0,28694.999999999996,119863.0,62454.00000000001,77700.0,334.0,Nagaland
8808139.0,3419697.0,151032.0,236287.0,54067.0,381848.0,58668.0,163284.0,7639728.0,737338.0,429042.0,838696.0,3264438.0,866937.0,616996.0,20736.0,Odisha
141777.0,53033.0,5375.0,9210.0,547.0,14197.0,4115.0,30308.0,96184.0,27148.0,18444.0,65952.0,5695.0,5521.0,1994.0,1066.0,Puducherry
4472932.999999999,2070475.0,244262.0,318518.0,7062.0,332765.0,39447.0,219593.0,2578349.0,1105398.0,787063.0000000001,2254497.0,353751.0,822688.0,172227.0,20056.0,Punjab
10051861.0,2623971.0,183328.0,332041.0,47142.0,562728.0,61696.0,286891.0,7343220.0,1733763.0,967918.0,2040734.0,4569543.0,3339117.0,1253112.0,16843.0,Rajasthan
91794.0,10261.0,5070.0,14432.0,74.0,18887.0,1076.0,4619.0,66666.0,11976.0,13023.0,8227.0,37392.0,30696.0,22959.0,387.0,Sikkim
12087291.0,6830328.0,184039.00000000003,476678.99999999994,5893.0,552438.0,76887.99999999991,679972.0,9438646.999999998,1934069.0,713265.0,3784729.000000001,2271289.0,1412366.9999999998,1263150.0000000002,86366.00000000009,Tamil Nadu
78090.0,15080.0,8616.0,4630.0,260.0,2741.0,2783.0,39857.0,44847.0,22152.0,11090.0,19928.0,17118.0,6526.0,6564.0,1637.0,The Dadra And Nagar Haveli And Daman And Diu
1999374.0,707627.0,141069.0,175524.0,8421.0,232602.0,11178.0,9037.0,1587252.0,245917.0,165661.0,163055.0,94623.0,62772.0,41181.0,8622.0,Tripura
25212392.0,7689028.0,614201.0,703182.0,43679.0,989074.0,365431.0,679088.0,18203934.0,4994592.0,1993531.0,6355973.0,4954726.0,12767804.0,3035003.0,120087.0,Uttar Pradesh
1398923.0,259587.0,68898.0,99432.0,2924.0,169454.0,27081.0,124055.0,896185.0,304553.0,198185.0,315952.0,661437.0,457667.0,179377.0,5729.0,Uttarakhand
16757489.0,8081584.0,271286.0,1030161.0,211415.0,725569.0,303982.0,426726.0,13768061.0,1957420.0,1030641.0,1376600.0,2965751.0,2807261.0,1209610.0,40020.0,West Bengal
