State,Residence_Type,Level of current enrolment,Gender,Gross enrolment ratio ( ger )
Jammu And Kashmir,Rural,Higher Secondary,Female,78.7
Jammu And Kashmir,Rural,Post Higher Secondary,Female,26.9
Jammu And Kashmir,Rural,Primary,Female,95.8
Jammu And Kashmir,Rural,Primary To Higher Secondary,Female,97.5
Jammu And Kashmir,Rural,Primary & Upper Primary,Female,99.2
Jammu And Kashmir,Rural,Secondary,Female,112.8
Jammu And Kashmir,Rural,Secondary And Higher Secondary,Female,94.0
Jammu And Kashmir,Rural,Upper Primary,Female,106.1
Jammu And Kashmir,Rural,Higher Secondary,Male,72.0
Jammu And Kashmir,Rural,Post Higher Secondary,Male,35.5
Jammu And Kashmir,Rural,Primary,Male,105.6
Jammu And Kashmir,Rural,Primary To Higher Secondary,Male,99.8
Jammu And Kashmir,Rural,Primary & Upper Primary,Male,101.7
Jammu And Kashmir,Rural,Secondary,Male,120.6
Jammu And Kashmir,Rural,Secondary And Higher Secondary,Male,95.7
Jammu And Kashmir,Rural,Upper Primary,Male,93.7
Jammu And Kashmir,Rural,Higher Secondary,Person,75.1
Jammu And Kashmir,Rural,Post Higher Secondary,Person,31.2
Jammu And Kashmir,Rural,Primary,Person,101.4
Jammu And Kashmir,Rural,Primary To Higher Secondary,Person,98.8
Jammu And Kashmir,Rural,Primary & Upper Primary,Person,100.7
Jammu And Kashmir,Rural,Secondary,Person,117.3
Jammu And Kashmir,Rural,Secondary And Higher Secondary,Person,94.9
Jammu And Kashmir,Rural,Upper Primary,Person,99.1
Jammu And Kashmir,Total,Higher Secondary,Female,81.2
Jammu And Kashmir,Total,Post Higher Secondary,Female,31.5
Jammu And Kashmir,Total,Primary,Female,96.9
Jammu And Kashmir,Total,Primary To Higher Secondary,Female,97.7
Jammu And Kashmir,Total,Primary & Upper Primary,Female,99.0
Jammu And Kashmir,Total,Secondary,Female,110.4
Jammu And Kashmir,Total,Secondary And Higher Secondary,Female,94.9
Jammu And Kashmir,Total,Upper Primary,Female,103.1
Jammu And Kashmir,Total,Higher Secondary,Male,75.3
Jammu And Kashmir,Total,Post Higher Secondary,Male,36.3
Jammu And Kashmir,Total,Primary,Male,105.6
Jammu And Kashmir,Total,Primary To Higher Secondary,Male,99.8
Jammu And Kashmir,Total,Primary & Upper Primary,Male,101.1
Jammu And Kashmir,Total,Secondary,Male,120.0
Jammu And Kashmir,Total,Secondary And Higher Secondary,Male,97.0
Jammu And Kashmir,Total,Upper Primary,Male,92.2
