State,Residence_Type,Gender,Agriculture & Fishing (%),Mining (%),Manufacturing (%),Energy Supply (%),"Persons working in water supply, sewerage, waste management and remediation industry (%)",Construction (%),Wholesale (%),Transportation & Storage (%),Hotel Industry (%),IT (%),Finance & Insurance (%),Real Estate (%),Scientific & Technical (%),Administration (%),Public administration & Defence (%),Education (%),Health (%),Entertainment Industry (%),Household (%)
Jammu And Kashmir,Rural,Female,80.27,0.0,9.6,0.28,0.0,0.09,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.53,4.68,2.77,0.0,0.0
Jammu And Kashmir,Rural,Male,28.54,0.08,7.72,0.58,1.25,24.26,12.5,6.9,1.93,0.51,0.79,0.0,0.31,0.84,5.68,6.28,0.77,0.16,0.02
Jammu And Kashmir,Rural,Person,44.59,0.05,8.31,0.49,0.86,16.76,8.72,4.76,1.33,0.35,0.54,0.0,0.3,0.58,4.39,5.78,1.39,0.11,0.01
Jammu And Kashmir,Total,Female,74.42,0.0,10.55,0.26,0.11,0.31,0.57,0.01,0.04,0.01,0.08,0.0,0.28,0.1,1.86,7.51,3.55,0.0,0.07
Jammu And Kashmir,Total,Male,23.59,0.08,8.51,0.69,1.28,22.16,15.91,7.51,2.26,0.57,1.15,0.04,0.58,0.96,6.38,5.97,1.1,0.2,0.06
Jammu And Kashmir,Total,Person,38.13,0.06,9.1,0.57,0.94,15.91,11.52,5.36,1.62,0.41,0.85,0.03,0.49,0.72,5.09,6.41,1.8,0.14,0.06
Jammu And Kashmir,Urban,Female,24.05,0.0,18.77,0.14,1.04,2.19,2.82,0.09,0.41,0.11,0.78,0.0,0.06,0.9,4.69,31.86,10.3,0.02,0.72
Jammu And Kashmir,Urban,Male,4.03,0.11,11.63,1.11,1.39,13.88,29.37,9.88,3.54,0.8,2.6,0.2,1.67,1.43,9.16,4.78,2.4,0.37,0.22
Jammu And Kashmir,Urban,Person,7.45,0.09,12.85,0.95,1.33,11.88,24.83,8.21,3.0,0.68,2.29,0.17,1.4,1.34,8.4,9.41,3.75,0.31,0.3
Jammu And Kashmir,Rural,Female,75.72,0.0,11.68,0.0,0.0,0.51,0.92,0.0,0.0,0.0,0.13,0.0,0.0,0.13,2.05,6.25,1.99,0.0,0.04
Jammu And Kashmir,Rural,Male,30.19,0.19,6.11,0.41,1.97,26.14,11.85,6.08,1.18,0.17,0.42,0.07,0.12,0.73,6.45,6.25,0.79,0.15,0.0
Jammu And Kashmir,Rural,Person,45.16,0.13,7.94,0.27,1.32,17.71,8.25,4.08,0.79,0.11,0.33,0.05,0.08,0.53,5.0,6.25,1.19,0.1,0.02
Jammu And Kashmir,Total,Female,68.61,0.01,12.42,0.02,0.02,1.16,2.01,0.03,0.0,0.09,0.29,0.0,0.24,0.19,2.55,8.6,2.67,0.0,0.16
Jammu And Kashmir,Total,Male,25.08,0.18,7.0,0.42,2.02,24.15,16.2,6.34,1.37,0.32,0.64,0.08,0.48,0.75,6.71,5.88,1.13,0.22,0.04
Jammu And Kashmir,Total,Person,38.5,0.13,8.67,0.3,1.4,17.07,11.83,4.39,0.95,0.25,0.53,0.06,0.41,0.58,5.43,6.72,1.6,0.15,0.08
Jammu And Kashmir,Urban,Female,16.43,0.12,17.9,0.13,0.15,5.91,10.03,0.23,0.0,0.77,1.47,0.0,1.99,0.58,6.21,25.85,7.66,0.0,1.05
Jammu And Kashmir,Urban,Male,4.57,0.14,10.57,0.5,2.22,16.18,33.69,7.38,2.16,0.94,1.5,0.12,1.93,0.84,7.77,4.4,2.49,0.5,0.19
Jammu And Kashmir,Urban,Person,7.08,0.14,12.12,0.42,1.78,14.01,28.69,5.87,1.7,0.9,1.49,0.1,1.94,0.79,7.44,8.93,3.58,0.39,0.37
Himachal Pradesh,Rural,Female,84.95,0.0,1.49,0.0,0.14,3.77,1.0,0.08,0.29,0.11,0.18,0.0,0.13,0.0,0.3,5.95,0.38,0.0,0.74
Himachal Pradesh,Rural,Male,39.94,0.0,7.34,0.55,1.17,20.96,8.63,7.69,1.5,0.24,0.83,0.0,0.47,1.02,2.24,4.19,1.76,0.11,0.1
Himachal Pradesh,Rural,Person,60.73,0.0,4.64,0.3,0.69,13.02,5.1,4.17,0.94,0.18,0.53,0.0,0.32,0.55,1.35,5.0,1.12,0.06,0.4
Himachal Pradesh,Total,Female,82.19,0.0,2.54,0.0,0.19,3.68,1.46,0.08,0.46,0.1,0.31,0.0,0.21,0.0,0.36,6.47,0.63,0.07,0.77
Himachal Pradesh,Total,Male,36.11,0.0,9.63,0.56,1.14,19.68,9.82,7.36,1.92,0.49,1.24,0.0,0.54,1.41,2.55,4.22,1.88,0.12,0.12
Himachal Pradesh,Total,Person,56.62,0.0,6.48,0.31,0.72,12.56,6.1,4.12,1.27,0.32,0.83,0.0,0.39,0.78,1.57,5.22,1.32,0.09,0.41
Himachal Pradesh,Urban,Female,23.97,0.0,24.59,0.0,1.33,1.76,11.24,0.0,4.11,0.0,2.92,0.0,1.75,0.0,1.63,17.38,5.85,1.49,1.25
Himachal Pradesh,Urban,Male,4.22,0.0,28.75,0.66,0.9,9.05,19.76,4.67,5.41,2.59,4.64,0.0,1.07,4.69,5.1,4.43,2.84,0.21,0.29
Himachal Pradesh,Urban,Person,9.23,0.0,27.69,0.49,1.0,7.2,17.6,3.49,5.08,1.93,4.2,0.0,1.25,3.5,4.22,7.71,3.61,0.53,0.53
Himachal Pradesh,Rural,Female,84.54,0.0,3.51,0.02,0.07,2.65,0.86,0.12,0.27,0.19,0.18,0.05,0.05,0.03,0.68,4.97,1.25,0.0,0.05
Himachal Pradesh,Rural,Male,41.18,0.15,10.97,1.11,1.12,19.73,7.18,5.31,2.33,0.37,1.17,0.1,0.98,0.56,1.34,4.21,0.36,0.68,0.0
Himachal Pradesh,Rural,Person,61.99,0.08,7.39,0.58,0.61,11.53,4.15,2.82,1.34,0.28,0.69,0.07,0.53,0.3,1.02,4.57,0.78,0.35,0.03
Himachal Pradesh,Total,Female,79.88,0.0,5.09,0.06,0.09,2.92,1.67,0.11,0.39,0.33,0.3,0.04,0.08,0.08,0.93,5.53,1.59,0.0,0.2
Himachal Pradesh,Total,Male,36.28,0.18,12.4,1.08,1.07,19.57,9.67,4.84,2.86,0.39,1.3,0.09,0.96,0.59,1.72,4.24,0.63,0.74,0.09
Himachal Pradesh,Total,Person,56.44,0.1,9.02,0.61,0.61,11.87,5.98,2.66,1.72,0.36,0.84,0.07,0.55,0.35,1.36,4.84,1.07,0.4,0.14
Himachal Pradesh,Urban,Female,16.18,0.0,26.67,0.69,0.38,6.66,12.75,0.0,1.94,2.22,1.86,0.0,0.4,0.69,4.29,13.3,6.25,0.0,2.22
Himachal Pradesh,Urban,Male,3.92,0.36,21.86,0.85,0.72,18.5,26.15,1.78,6.34,0.52,2.21,0.0,0.81,0.81,4.26,4.41,2.46,1.13,0.72
Himachal Pradesh,Urban,Person,7.71,0.25,23.34,0.8,0.62,14.85,22.01,1.23,4.98,1.04,2.1,0.0,0.69,0.77,4.27,7.15,3.63,0.78,1.18
Punjab,Rural,Female,42.2,0.0,16.41,1.05,0.24,6.33,3.78,0.0,1.31,1.29,0.03,0.0,0.0,0.24,0.81,14.12,3.19,0.0,5.71
Punjab,Rural,Male,37.89,0.15,11.21,0.57,0.36,21.47,10.08,5.64,1.61,0.62,0.46,0.23,0.44,0.06,1.84,2.47,0.97,0.61,0.66
Punjab,Rural,Person,38.74,0.12,12.23,0.67,0.34,18.5,8.84,4.54,1.55,0.76,0.37,0.19,0.35,0.1,1.64,4.76,1.41,0.49,1.65
Punjab,Total,Female,27.67,0.0,19.33,0.89,0.68,5.86,5.65,0.0,1.12,0.94,0.34,0.0,0.62,0.41,1.77,18.06,4.2,0.06,8.16
Punjab,Total,Male,23.88,0.15,19.4,0.7,0.61,16.5,16.05,5.81,2.7,1.04,1.39,0.43,0.85,0.69,2.13,2.29,1.1,0.58,0.56
Punjab,Total,Person,24.59,0.12,19.39,0.74,0.63,14.51,14.11,4.72,2.41,1.02,1.2,0.35,0.81,0.63,2.06,5.23,1.68,0.49,1.97
Punjab,Urban,Female,2.84,0.0,24.32,0.62,1.43,5.05,8.84,0.0,0.8,0.34,0.87,0.0,1.69,0.69,3.41,24.79,5.92,0.18,12.33
Punjab,Urban,Male,3.5,0.14,31.33,0.89,0.98,9.26,24.73,6.05,4.29,1.63,2.76,0.71,1.45,1.59,2.54,2.02,1.29,0.55,0.4
Punjab,Urban,Person,3.39,0.11,30.12,0.84,1.06,8.54,21.99,5.0,3.69,1.41,2.43,0.59,1.49,1.44,2.69,5.94,2.09,0.48,2.46
Punjab,Rural,Female,43.72,0.0,12.72,0.0,1.83,6.86,3.03,0.44,0.45,0.3,10.04,0.0,0.01,0.61,1.22,8.13,2.67,0.0,3.35
Punjab,Rural,Male,36.27,0.02,11.94,0.59,0.24,20.11,7.55,12.11,0.79,0.12,0.54,0.05,0.44,0.84,0.75,1.54,1.18,0.99,0.13
Punjab,Rural,Person,37.99,0.02,12.12,0.45,0.6,17.05,6.51,9.41,0.71,0.16,2.74,0.04,0.34,0.79,0.86,3.07,1.52,0.76,0.88
Punjab,Total,Female,30.65,0.0,15.45,0.22,1.27,5.15,7.4,0.54,0.64,0.71,7.26,0.02,0.61,0.71,1.68,13.8,3.93,0.05,5.1
