State,Residence_Type,Gender,Course type,Institution type,Distribution of students by institution type and course type (%),Sample number of students under survey by institution type and course type
Jammu And Kashmir,Rural,Female,Diploma/Certificate below graduate level,Government,1.3,1129.0573052878
Jammu And Kashmir,Rural,Female,Diploma/Certificate below graduate level,Private aided,0.0,1129.0573052878
Jammu And Kashmir,Rural,Female,Diploma/Certificate below graduate level,Private Unaided,0.2,1129.0573052878
Jammu And Kashmir,Rural,Female,Graduate and above level including diploma,Government,11.7,1129.0573052878
Jammu And Kashmir,Rural,Female,Graduate and above level including diploma,Private aided,0.1,1129.0573052878
Jammu And Kashmir,Rural,Female,Graduate and above level including diploma,Private Unaided,0.7,1129.0573052878
Jammu And Kashmir,Rural,Female,Pre-Primary,Government,1.6,1129.0573052878
Jammu And Kashmir,Rural,Female,Pre-Primary,Private aided,0.9,1129.0573052878
Jammu And Kashmir,Rural,Female,Pre-Primary,Private Unaided,2.3,1129.0573052878
Jammu And Kashmir,Rural,Female,Primary,Government,22.9,1129.0573052878
Jammu And Kashmir,Rural,Female,Primary,Private aided,3.2,1129.0573052878
Jammu And Kashmir,Rural,Female,Primary,Private Unaided,9.4,1129.0573052878
Jammu And Kashmir,Rural,Female,Secondary and Higher Secondary,Government,20.9,1129.0573052878
Jammu And Kashmir,Rural,Female,Secondary and Higher Secondary,Private aided,0.8,1129.0573052878
Jammu And Kashmir,Rural,Female,Secondary and Higher Secondary,Private Unaided,4.1,1129.0573052878
Jammu And Kashmir,Rural,Female,Upper Primary,Government,14.5,1129.0573052878
Jammu And Kashmir,Rural,Female,Upper Primary,Private aided,1.1,1129.0573052878
Jammu And Kashmir,Rural,Female,Upper Primary,Private Unaided,4.0,1129.0573052878
Jammu And Kashmir,Rural,Male,Diploma/Certificate below graduate level,Government,2.0,1569.5459252574
Jammu And Kashmir,Rural,Male,Diploma/Certificate below graduate level,Private aided,0.0,1569.5459252574
Jammu And Kashmir,Rural,Male,Diploma/Certificate below graduate level,Private Unaided,0.2,1569.5459252574
Jammu And Kashmir,Rural,Male,Graduate and above level including diploma,Government,11.7,1569.5459252574
Jammu And Kashmir,Rural,Male,Graduate and above level including diploma,Private aided,0.2,1569.5459252574
Jammu And Kashmir,Rural,Male,Graduate and above level including diploma,Private Unaided,0.4,1569.5459252574
Jammu And Kashmir,Rural,Male,Pre-Primary,Government,2.3,1569.5459252574
Jammu And Kashmir,Rural,Male,Pre-Primary,Private aided,0.0,1569.5459252574
Jammu And Kashmir,Rural,Male,Pre-Primary,Private Unaided,1.6,1569.5459252574
Jammu And Kashmir,Rural,Male,Primary,Government,22.0,1569.5459252574
Jammu And Kashmir,Rural,Male,Primary,Private aided,3.9,1569.5459252574
Jammu And Kashmir,Rural,Male,Primary,Private Unaided,14.0,1569.5459252574
Jammu And Kashmir,Rural,Male,Secondary and Higher Secondary,Government,20.0,1569.5459252574
Jammu And Kashmir,Rural,Male,Secondary and Higher Secondary,Private aided,1.5,1569.5459252574
Jammu And Kashmir,Rural,Male,Secondary and Higher Secondary,Private Unaided,2.9,1569.5459252574
Jammu And Kashmir,Rural,Male,Upper Primary,Government,12.2,1569.5459252574
Jammu And Kashmir,Rural,Male,Upper Primary,Private aided,1.6,1569.5459252574
Jammu And Kashmir,Rural,Male,Upper Primary,Private Unaided,3.4,1569.5459252574
Jammu And Kashmir,Rural,Persons,Diploma/Certificate below graduate level,Government,1.7,2698.6032305452
Jammu And Kashmir,Rural,Persons,Diploma/Certificate below graduate level,Private aided,0.0,2698.6032305452
Jammu And Kashmir,Rural,Persons,Diploma/Certificate below graduate level,Private Unaided,0.2,2698.6032305452
Jammu And Kashmir,Rural,Persons,Graduate and above level including diploma,Government,11.7,2698.6032305452
Jammu And Kashmir,Rural,Persons,Graduate and above level including diploma,Private aided,0.2,2698.6032305452
Jammu And Kashmir,Rural,Persons,Graduate and above level including diploma,Private Unaided,0.5,2698.6032305452
Jammu And Kashmir,Rural,Persons,Pre-Primary,Government,2.0,2698.6032305452
Jammu And Kashmir,Rural,Persons,Pre-Primary,Private aided,0.4,2698.6032305452
Jammu And Kashmir,Rural,Persons,Pre-Primary,Private Unaided,1.9,2698.6032305452
Jammu And Kashmir,Rural,Persons,Primary,Government,22.4,2698.6032305452
Jammu And Kashmir,Rural,Persons,Primary,Private aided,3.6,2698.6032305452
Jammu And Kashmir,Rural,Persons,Primary,Private Unaided,12.0,2698.6032305452
Jammu And Kashmir,Rural,Persons,Secondary and Higher Secondary,Government,20.4,2698.6032305452
