State,Residence_Type,Age group,Gender,Labour force participation rate according to usual status (ps+ss),Worker population rate according to usual status (ps+ss), unemployment rate according to usual status (ps+ss)
J & K,Rural,15-29 years,Female,30.5,25.8,15.2
J & K,Rural,15-29 years,Male,58.3,53.5,8.2
J & K,Rural,15-29 years,Person,45.1,40.4,10.4
J & K,Total,15-29 years,Female,29.1,23,21
J & K,Total,15-29 years,Male,56.9,51,10.4
J & K,Total,15-29 years,Person,43.7,37.7,13.8
J & K,Urban,15-29 years,Female,24,11.9,50.2
J & K,Urban,15-29 years,Male,51.4,40.7,20.8
J & K,Urban,15-29 years,Person,38.2,26.9,29.7
J & K,Rural,15-59 years,Female,39.8,37.2,6.5
J & K,Rural,15-59 years,Male,80.4,77.8,3.3
J & K,Rural,15-59 years,Person,60.4,57.8,4.3
J & K,Total,15-59 years,Female,36.3,32.9,9.4
J & K,Total,15-59 years,Male,80,76.9,3.8
J & K,Total,15-59 years,Person,58.5,55.3,5.6
J & K,Urban,15-59 years,Female,23.3,16.8,27.7
J & K,Urban,15-59 years,Male,78.7,73.9,6
J & K,Urban,15-59 years,Person,51.6,46,10.8
J & K,Rural,15 years and above,Male,78,75.7,2.9
J & K,Rural,15 years and above,Person,58.3,56,4
J & K,Total,15 years and above,Female,33.8,30.8,8.9
J & K,Total,15 years and above,Male,76.6,74,3.5
J & K,Total,15 years and above,Person,55.8,52.9,5.1
J & K,Urban,15 years and above,Female,20.5,15,27
J & K,Urban,15 years and above,Male,71.9,67.9,5.6
J & K,Urban,15 years and above,Person,47,42.3,10.1
J & K,Rural,All Ages,Female,29.3,27.5,6
J & K,Rural,All Ages,Male,58.5,56.8,2.9
J & K,Rural,All Ages,Person,44.4,42.7,3.9
J & K,Total,All Ages,Female,26.5,24.2,8.8
J & K,Total,All Ages,Male,58,56,3.5
J & K,Total,All Ages,Person,42.9,40.7,5.1
J & K,Urban,All Ages,Female,16.2,11.8,27.2
J & K,Urban,All Ages,Male,56.2,53.1,5.6
J & K,Urban,All Ages,Person,37,33.2,10.1
J & K,Rural,15-29 years,Female,31.1,23.9,23.1
J & K,Rural,15-29 years,Male,51.7,45.8,11.5
J & K,Rural,15-29 years,Person,42.2,35.7,15.5
J & K,Total,15-29 years,Female,31.1,22.4,27.9
J & K,Total,15-29 years,Male,52.4,45.5,13.3
J & K,Total,15-29 years,Person,42.5,34.7,18.3
J & K,Urban,15-29 years,Female,31,15.9,48.7
J & K,Urban,15-29 years,Male,55.5,44,20.6
J & K,Urban,15-29 years,Person,43.9,30.7,30
J & K,Rural,15-59 years,Female,43.4,39.6,8.8
J & K,Rural,15-59 years,Male,76.8,73.8,3.9
J & K,Rural,15-59 years,Person,60.4,57,5.6
J & K,Total,15-59 years,Female,40.8,35.9,12.2
J & K,Total,15-59 years,Male,77.5,73.8,4.7
J & K,Total,15-59 years,Person,59.4,55.1,7.2
J & K,Urban,15-59 years,Female,30.7,21.2,30.9
J & K,Urban,15-59 years,Male,80.3,74,7.8
J & K,Urban,15-59 years,Person,55.6,47.8,14.1
J & K,Rural,15 years and above,Female,40.2,36.8,8.4
J & K,Rural,15 years and above,Male,74.3,71.7,3.5
J & K,Rural,15 years and above,Person,57.7,54.7,5.2
J & K,Total,15 years and above,Female,37.4,33.1,11.6
J & K,Total,15 years and above,Male,74.3,71.2,4.2
J & K,Total,15 years and above,Person,56.3,52.5,6.7
J & K,Urban,15 years and above,Female,27,18.9,29.9
J & K,Urban,15 years and above,Male,74.2,68.9,7.1
J & K,Urban,15 years and above,Person,50.9,44.2,13
J & K,Rural,all ages,Female,30.3,27.7,8.4
J & K,Rural,all ages,Male,53.6,51.7,3.5
J & K,Rural,all ages,Person,42.5,40.3,5.2
J & K,Total,all ages,Female,28.5,25.2,11.6
J & K,Total,all ages,Male,54.3,52,4.3
J & K,Total,all ages,Person,42,39.2,6.7
J & K,Urban,all ages,Female,21.6,15.1,29.9
J & K,Urban,all ages,Male,57,52.9,7.2
J & K,Urban,all ages,Person,39.9,34.6,13.2
Himachal Pradesh,Rural,15-29 years,Female,45.5,38.2,15.9
Himachal Pradesh,Rural,15-29 years,Male,53.1,42.1,20.7
Himachal Pradesh,Rural,15-29 years,Person,49.5,40.3,18.6
Himachal Pradesh,Total,15-29 years,Female,43.1,35.7,17
Himachal Pradesh,Total,15-29 years,Male,53.3,42.7,20
Himachal Pradesh,Total,15-29 years,Person,48.6,39.5,18.8
Himachal Pradesh,Urban,15-29 years,Female,25.4,17.2,32.2
Himachal Pradesh,Urban,15-29 years,Male,55.1,46.7,15.2
Himachal Pradesh,Urban,15-29 years,Person,42.2,33.9,19.6
Himachal Pradesh,Rural,15-59 years,Female,67.5,64.2,4.8
Himachal Pradesh,Rural,15-59 years,Male,80.3,75.4,6.1
Himachal Pradesh,Rural,15-59 years,Person,73.8,69.8,5.5
Himachal Pradesh,Total,15-59 years,Female,64.1,60.6,5.4
Himachal Pradesh,Total,15-59 years,Male,80.1,75.1,6.2
Himachal Pradesh,Total,15-59 years,Person,72.1,67.9,5.8
Himachal Pradesh,Urban,15-59 years,Female,34.1,28.8,15.7
Himachal Pradesh,Urban,15-59 years,Male,78.4,73,6.9
Himachal Pradesh,Urban,15-59 years,Person,58,52.6,9.3
Himachal Pradesh,Rural,15 years and above,Male,76.1,72.1,5.3
Himachal Pradesh,Rural,15 years and above,Person,68.9,65.6,4.8
Himachal Pradesh,Total,15 years and above,Female,59.2,56.3,4.8
Himachal Pradesh,Total,15 years and above,Male,75.8,71.7,5.4
Himachal Pradesh,Total,15 years and above,Person,67.4,63.9,5.1
Himachal Pradesh,Urban,15 years and above,Female,31.4,26.7,14.9
Himachal Pradesh,Urban,15 years and above,Male,73.4,68.6,6.5
Himachal Pradesh,Urban,15 years and above,Person,53.8,49,8.8
Himachal Pradesh,Rural,All Ages,Female,49,46.9,4.3
Himachal Pradesh,Rural,All Ages,Male,59.1,56,5.3
Himachal Pradesh,Rural,All Ages,Person,54,51.4,4.8
Himachal Pradesh,Total,All Ages,Female,46.9,44.6,4.8
Himachal Pradesh,Total,All Ages,Male,58.8,55.6,5.4
