State,Residence_Type,Gender,Education level,Labor force participation rate according to usual status based on different general education level,Working population rate according to usual status based on different general education level,Unemployment rate according to usual status based on different general education level
J & K,Rural,Female,All,37.6,35.3,6.2
J & K,Rural,Female,Diploma/Certificate Course,79.9,63,21.2
J & K,Rural,Female,Graduate,41.1,27.7,32.6
J & K,Rural,Female,Higher Secondary,18.1,15.9,12.1
J & K,Rural,Female,Literate & Upto Primary,48.7,47.9,1.6
J & K,Rural,Female,Middle,33.6,33.3,0.9
J & K,Rural,Female,Not Literate,41.7,41.7,0
J & K,Rural,Female,Post Graduate & Above,84.5,41.8,50.5
J & K,Rural,Female,Secondary,22.6,22.4,0.7
J & K,Rural,Female,Secondary & Above,31,23.5,24.2
J & K,Rural,Male,All,78,75.7,2.9
J & K,Rural,Male,Diploma/Certificate Course,92,83,9.8
J & K,Rural,Male,Graduate,81.9,72.5,11.5
J & K,Rural,Male,Higher Secondary,72.8,68.2,6.3
J & K,Rural,Male,Literate & Upto Primary,91.7,91.7,0
J & K,Rural,Male,Middle,79.3,78.8,0.7
J & K,Rural,Male,Not Literate,74.7,74.7,0
J & K,Rural,Male,Post Graduate & Above,93.3,78.6,15.7
J & K,Rural,Male,Secondary,66.8,66.2,0.9
J & K,Rural,Male,Secondary & Above,74.6,69.6,6.7
J & K,Rural,Person,All,58.3,56,4
J & K,Rural,Person,Diploma/Certificate Course,90,79.8,11.4
J & K,Rural,Person,Graduate,66.8,55.9,16.3
J & K,Rural,Person,Higher Secondary,49.4,45.8,7.2
J & K,Rural,Person,Literate & Upto Primary,70.3,69.9,0.5
J & K,Rural,Person,Middle,60.5,60.1,0.7
J & K,Rural,Person,Not Literate,51.5,51.5,0
J & K,Rural,Person,Post Graduate & Above,90,65,27.8
J & K,Rural,Person,Secondary,49.8,49.4,0.9
J & K,Rural,Person,Secondary & Above,57.6,51.7,10.3
J & K,Total,Female,All,33.8,30.8,8.9
J & K,Total,Female,Diploma/Certificate Course,60.9,38.3,37
J & K,Total,Female,Graduate,39.8,25.3,36.5
J & K,Total,Female,Higher Secondary,17.3,15.2,11.8
J & K,Total,Female,Literate & Upto Primary,43.8,43.2,1.5
J & K,Total,Female,Middle,29.3,29,1
J & K,Total,Female,Not Literate,36.9,36.9,0
J & K,Total,Female,Post Graduate & Above,79.2,40.2,49.2
J & K,Total,Female,Secondary,19.1,18.7,2.1
J & K,Total,Female,Secondary & Above,30.6,21.8,28.6
J & K,Total,Male,All,76.6,74,3.5
J & K,Total,Male,Diploma/Certificate Course,89.6,82.5,7.9
J & K,Total,Male,Graduate,78.1,68.6,12.1
J & K,Total,Male,Higher Secondary,70.7,66.3,6.3
J & K,Total,Male,Literate & Upto Primary,91.4,91.3,0
J & K,Total,Male,Middle,78.5,77.6,1.2
J & K,Total,Male,Not Literate,74,73.9,0.1
J & K,Total,Male,Post Graduate & Above,89.4,75.8,15.2
J & K,Total,Male,Secondary,65.9,65.1,1.2
J & K,Total,Male,Secondary & Above,72.9,67.8,7
J & K,Total,Person,All,55.8,52.9,5.1
J & K,Total,Person,Diploma/Certificate Course,84.1,74.1,11.9
J & K,Total,Person,Graduate,63.5,52.1,17.9
J & K,Total,Person,Higher Secondary,47.9,44.5,7.1
J & K,Total,Person,Literate & Upto Primary,68.2,67.8,0.5
J & K,Total,Person,Middle,57.8,57.2,1.1
J & K,Total,Person,Not Literate,47.9,47.8,0.1
J & K,Total,Person,Post Graduate & Above,85,60.4,28.9
J & K,Total,Person,Secondary,47.6,46.9,1.4
J & K,Total,Person,Secondary & Above,55.9,49.3,11.8
J & K,Urban,Female,All,20.5,15,27
J & K,Urban,Female,Diploma/Certificate Course,32.9,2.1,93.6
J & K,Urban,Female,Graduate,38,22,42.2
J & K,Urban,Female,Higher Secondary,15.1,13.5,11
J & K,Urban,Female,Literate & Upto Primary,14.7,14.7,0
J & K,Urban,Female,Middle,11.6,11.4,1.7
J & K,Urban,Female,Not Literate,11.2,11.2,0
J & K,Urban,Female,Post Graduate & Above,72.8,38.4,47.3
J & K,Urban,Female,Secondary,8.9,7.8,12.6
J & K,Urban,Female,Secondary & Above,29.7,18.4,38.1
J & K,Urban,Male,All,71.9,67.9,5.6
J & K,Urban,Male,Diploma/Certificate Course,82.8,81.2,2
J & K,Urban,Male,Graduate,72.4,62.9,13.1
J & K,Urban,Male,Higher Secondary,65.7,61.7,6.1
J & K,Urban,Male,Literate & Upto Primary,89.7,89.5,0.2
J & K,Urban,Male,Middle,74.6,71.6,4
J & K,Urban,Male,Not Literate,70,69.6,0.5
J & K,Urban,Male,Post Graduate & Above,79.6,68.7,13.7
J & K,Urban,Male,Secondary,62.9,61.4,2.5
J & K,Urban,Male,Secondary & Above,68.7,63.1,8
J & K,Urban,Person,All,47,42.3,10.1
J & K,Urban,Person,Diploma/Certificate Course,69.5,60,13.6
J & K,Urban,Person,Graduate,58.9,46.8,20.5
J & K,Urban,Person,Higher Secondary,44.4,41.4,6.8
J & K,Urban,Person,Literate & Upto Primary,57.4,57.3,0.2
J & K,Urban,Person,Middle,45.4,43.7,3.7
J & K,Urban,Person,Not Literate,29,28.8,0.4
J & K,Urban,Person,Post Graduate & Above,75.8,52,31.5
J & K,Urban,Person,Secondary,40.1,38.7,3.5
J & K,Urban,Person,Secondary & Above,51.9,43.8,15.5
J & K,Rural,Female,All,40.2,36.8,8.4
J & K,Rural,Female,Diploma/Certificate Course,49.4,3.1,93.8
J & K,Rural,Female,Graduate,39.9,25.2,36.9
J & K,Rural,Female,Higher Secondary,24.8,18.4,25.6
J & K,Rural,Female,Literate & Upto Primary,44.3,43.8,1
J & K,Rural,Female,Middle,39.6,38.5,2.8
J & K,Rural,Female,Not Literate,41.9,41.6,0.7
J & K,Rural,Female,Post Graduate & Above,67.2,39.2,41.7
J & K,Rural,Female,Secondary,34.4,29.3,14.8
J & K,Rural,Female,Secondary & Above,36.6,26,28.8
J & K,Rural,Male,All,74.3,71.7,3.5
J & K,Rural,Male,Diploma/Certificate Course,77.4,32.3,58.3
J & K,Rural,Male,Graduate,72.5,61.7,14.9
J & K,Rural,Male,Higher Secondary,61.5,55.4,9.8
J & K,Rural,Male,Literate & Upto Primary,90.8,90.8,0
J & K,Rural,Male,Middle,73.8,72.8,1.4
J & K,Rural,Male,Not Literate,77.3,77.3,0
J & K,Rural,Male,Post Graduate & Above,91.1,84,7.9
J & K,Rural,Male,Secondary,68.7,67.6,1.6
J & K,Rural,Male,Secondary & Above,69.9,64.7,7.5
J & K,Rural,Person,All,57.7,54.7,5.2
J & K,Rural,Person,Diploma/Certificate Course,65.8,20.2,69.4
J & K,Rural,Person,Graduate,59.4,47,20.8
J & K,Rural,Person,Higher Secondary,46.8,40.7,13.1
J & K,Rural,Person,Literate & Upto Primary,67.1,66.9,0.3
J & K,Rural,Person,Middle,60.2,59.2,1.8
J & K,Rural,Person,Not Literate,52.3,52.1,0.4
J & K,Rural,Person,Post Graduate & Above,81.6,66.2,18.9
J & K,Rural,Person,Secondary,56.7,54.1,4.4
J & K,Rural,Person,Secondary & Above,57.2,50,12.7
J & K,Total,Female,All,37.4,33.1,11.6
J & K,Total,Female,Diploma/Certificate Course,50.4,15,70.3
J & K,Total,Female,Graduate,43.5,25.8,40.7
J & K,Total,Female,Higher Secondary,25.4,18,29.1
J & K,Total,Female,Literate & Upto Primary,41.3,40.8,1.1
J & K,Total,Female,Middle,35.2,33.7,4.1
J & K,Total,Female,Not Literate,38.4,38.1,0.7
J & K,Total,Female,Post Graduate & Above,65.7,37.5,42.9
J & K,Total,Female,Secondary,29.3,24.3,17.3
J & K,Total,Female,Secondary & Above,36.5,24.5,32.9
J & K,Total,Male,All,74.3,71.2,4.2
J & K,Total,Male,Diploma/Certificate Course,80.3,47,41.5
J & K,Total,Male,Graduate,76.2,65.4,14.2
J & K,Total,Male,Higher Secondary,63.2,56.5,10.6
J & K,Total,Male,Literate & Upto Primary,89.4,89.3,0.1
