Population,Male population,Female population,Scheduled caste population,Male scheduled caste population,Female scheduled caste population ,Scheduled tribe population,Male scheduled tribe population,Female scheduled tribe population ,Literate population ,Male literate population,Female literate population ,Illiterate population,Male illiterate population ,Female illiterate population ,Working population,Male working population,Female woking population,State
380581.0,202871.0,177710.0,0.0,0.0,0.0,28530.0,14731.0,13799.0,294281.0,164377.0,129904.0,86300.0,38494.0,47806.0,152535.0,120889.0,31646.0,Andaman And Nicobar Islands
49577103.0,24830513.0,24746590.0,8469278.0,4219920.0,4249358.0,2740133.0,1361706.0,1378427.0,29859982.0,16549514.0,13310468.0,19717121.0,8280999.0,11436122.0,23080964.0,14507418.0,8573546.0,Andhra Pradesh
1383727.0,713912.0,669815.0,0.0,0.0,0.0,951821.0,468390.0,483431.0,766005.0,439868.0,326137.0,617722.0,274044.0,343678.0,587657.0,350273.0,237384.0,Arunachal Pradesh
31205576.0,15939443.0,15266133.0,2231321.0,1145314.0,1086007.0,3884371.0,1957005.0,1927366.0,19177977.0,10568639.0,8609338.0,12027599.0,5370804.0,6656795.0,11969690.0,8541560.0,3428130.0,Assam
104099452.0,54278157.0,49821295.0,16567325.0,8606253.0,7961072.0,1336573.0,682516.0,654057.0,52504553.0,31608023.0,20896530.0,51594899.0,22670134.0,28924765.0,34724987.0,25222189.0,9502798.0,Bihar
1055450.0,580663.0,474787.0,199086.0,106356.0,92730.0,0.0,0.0,0.0,805438.0,465346.0,340092.0,250012.0,115317.0,134695.0,404136.0,328159.0,75977.0,Chandigarh
25545198.0,12832895.0,12712303.0,3274269.0,1641738.0,1632531.0,7822902.0,3873191.0,3949711.0,15379922.0,8807893.0,6572029.0,10165276.0,4025002.0,6140274.0,12180225.0,7133866.0,5046359.0,Chhattisgarh
16787941.0,8987326.0,7800615.0,2812309.0,1488800.0,1323509.0,0.0,0.0,0.0,12737767.0,7194856.0,5542911.0,4050174.0,1792470.0,2257704.0,5587049.0,4762026.0,825023.0,Delhi
1458545.0,739140.0,719405.0,25449.0,12627.0,12822.0,149275.0,72948.0,76327.0,1165487.0,615823.0,549664.0,293058.0,123317.0,169741.0,577248.0,419536.0,157712.0,Goa
60443083.0,31492973.0,28950110.0,4074480.0,2110348.0,1964132.0,8917174.0,4501389.0,4415785.0,41095674.0,23476246.0,17619428.0,19347409.0,8016727.0,11330682.0,24768955.0,18001859.0,6767096.0,Gujarat
25351462.0,13494734.0,11856728.0,5113615.0,2709656.0,2403959.0,0.0,0.0,0.0,16598988.0,9794067.0,6804921.0,8752474.0,3700667.0,5051807.0,8916508.0,6806636.0,2109872.0,Haryana
