State,Residence_Type,Gender,Age group of children in months,Children without any immunisation (%),Fully immunised children (%),Sample number of children
J & K,Rural,boy,0<=AgW6,1,0,214.8724975
J & K,Rural,boy,12<=AgW=23,0,75.3,57.62489707
J & K,Rural,boy,24<=AgW=35,0.2,65.2,174.8280775
J & K,Rural,boy,36<=Age<=l7,0,84.8,223.6627361
J & K,Rural,boy,48<=Age<=59,6,82.8,228.5462019
J & K,Rural,boy,60<=Age<=71,0,76.4,99.62270341
J & K,Rural,boy,6<=AgW=11,0.3,13.9,300.8214966
J & K,Rural,boy,all (0-71 months),1.9,65.4,1299.97861
J & K,Rural,children,0<=AgW6,0.5,0,214.8724975
J & K,Rural,children,12<=AgW=23,0,74.1,57.62489707
J & K,Rural,children,24<=AgW=35,0.1,73,174.8280775
J & K,Rural,children,36<=Age<=l7,1.8,75.3,223.6627361
J & K,Rural,children,48<=Age<=59,6.6,79.8,228.5462019
J & K,Rural,children,60<=Age<=71,0,74.6,99.62270341
J & K,Rural,children,6<=AgW=11,0.3,15.3,300.8214966
J & K,Rural,children,all (0-71 months),2,64,1299.97861
J & K,Rural,girl,0<=AgW6,0,0,214.8724975
J & K,Rural,girl,12<=AgW=23,0,67.9,57.62489707
J & K,Rural,girl,24<=AgW=35,0,77.1,174.8280775
J & K,Rural,girl,36<=Age<=l7,3.1,69,223.6627361
J & K,Rural,girl,48<=Age<=59,7.5,75.1,228.5462019
J & K,Rural,girl,60<=Age<=71,0,72.9,99.62270341
J & K,Rural,girl,6<=AgW=11,0.4,17,300.8214966
J & K,Rural,girl,all (0-71 months),2.2,62.7,1299.97861
J & K,Total,boy,0<=AgW6,0.8,0,342.3452007
J & K,Total,boy,12<=AgW=23,0,77.6,89.98788132
J & K,Total,boy,24<=AgW=35,0.2,66.3,283.657452
J & K,Total,boy,36<=Age<=t7,0.1,82.8,345.2795881
J & K,Total,boy,48<=Age<=59,5.3,83.3,347.2358464
J & K,Total,boy,60<=Age<=71,0,81.8,158.4569215
J & K,Total,boy,6<=AgW=11,0.2,14.3,519.3865759
J & K,Total,boy,all (0-71 months),1.6,65.5,2086.349466
J & K,Total,children,0<=AgW6,0.4,0,342.3452007
J & K,Total,children,12<=AgW=23,0,68.2,89.98788132
J & K,Total,children,24<=AgW=35,0.1,73.2,283.657452
J & K,Total,children,36<=Age<=t7,1.6,76.8,345.2795881
J & K,Total,children,48<=Age<=59,5.6,80.7,347.2358464
J & K,Total,children,60<=Age<=71,0,78.7,158.4569215
J & K,Total,children,6<=AgW=11,0.3,15.8,519.3865759
J & K,Total,children,all (0-71 months),1.7,64.5,2086.349466
J & K,Total,girl,0<=AgW6,0,0,342.3452007
J & K,Total,girl,12<=AgW=23,0,42.1,89.98788132
J & K,Total,girl,24<=AgW=35,0,77.7,283.657452
J & K,Total,girl,36<=Age<=t7,2.5,72.8,345.2795881
J & K,Total,girl,48<=Age<=59,6.2,76.7,347.2358464
J & K,Total,girl,60<=Age<=71,0,75.6,158.4569215
J & K,Total,girl,6<=AgW=11,0.4,17.7,519.3865759
J & K,Total,girl,all (0-71 months),1.8,63.6,2086.349466
J & K,Urban,boy,0<=AgW6,0,0,127.6520239
J & K,Urban,boy,12<=AgW=23,0,99.1,32.40397531
J & K,Urban,boy,24<=AgW=35,0,68.6,108.9951897
J & K,Urban,boy,36<=Age<=t7,0.6,72.9,121.7603921
J & K,Urban,boy,48<=Age<=59,0.6,86.5,118.8145761
J & K,Urban,boy,60<=Age<=71,0,98.7,58.91631874
J & K,Urban,boy,6<=AgW=11,0,15.9,218.972318
J & K,Urban,boy,all (0-71 months),0.2,65.7,787.5147939
J & K,Urban,children,0<=AgW6,0,0,127.6520239
J & K,Urban,children,12<=AgW=23,0,45.4,32.40397531
J & K,Urban,children,24<=AgW=35,0,74,108.9951897
J & K,Urban,children,36<=Age<=t7,0.2,84.3,121.7603921
J & K,Urban,children,48<=Age<=59,0.4,85.5,118.8145761
J & K,Urban,children,60<=Age<=71,0,93.8,58.91631874
J & K,Urban,children,6<=AgW=11,0.2,17.7,218.972318
J & K,Urban,children,all (0-71 months),0.2,66.8,787.5147939
J & K,Urban,girl,0<=AgW6,0,0,127.6520239
J & K,Urban,girl,12<=AgW=23,0,17.9,32.40397531
J & K,Urban,girl,24<=AgW=35,0,81.4,108.9951897
J & K,Urban,girl,36<=Age<=t7,0,91.6,121.7603921
J & K,Urban,girl,48<=Age<=59,0,84.1,118.8145761
J & K,Urban,girl,60<=Age<=71,0,87.1,58.91631874
J & K,Urban,girl,6<=AgW=11,0.5,19.8,218.972318
J & K,Urban,girl,all (0-71 months),0.1,68,787.5147939
Himachal Pradesh,Rural,boy,0<=Age<6,1.4,0,192
Himachal Pradesh,Rural,boy,12<=Age<=23,0,56.9,107
Himachal Pradesh,Rural,boy,24<=AgW=35,0,87.9,153
Himachal Pradesh,Rural,boy,36<=AgW=t7,13.5,64.4,144
Himachal Pradesh,Rural,boy,48<=Age<=59,0,92.9,151
Himachal Pradesh,Rural,boy,60<=Age<=71,0,98.6,92
