Bank Account %,Post Office Account %,No Deposit Account %,State,Residence_Type
43.4,5,51.6,J & K,Rural
37.75,3.55,58.7,J & K,Urban
47.5,18.75,33.75,Himachal Pradesh,Rural
44.95,12.15,42.9,Himachal Pradesh,Urban
39.05,5.05,55.9,Punjab,Rural
39.2,5.8,55,Punjab,Urban
45.35,0.95,53.7,Chandigarh,Rural
48.35,6.1,45.55,Chandigarh,Urban
39.7,11.05,49.25,Uttarakhand,Rural
41.7,10,48.3,Uttarakhand,Urban
42.15,4.55,53.3,Haryana,Rural
36.55,4.1,59.35,Haryana,Urban
47,15.55,37.45,Delhi,Rural
41.6,1.65,56.75,Delhi,Urban
38.65,9.25,52.1,Rajasthan,Rural
36.95,7.4,55.65,Rajasthan,Urban
38.95,1.95,59.1,Uttar Pradesh,Rural
38,4.7,57.3,Uttar Pradesh,Urban
21.05,3.55,75.4,Bihar,Rural
32.7,5.8,61.5,Bihar,Urban
43.25,6.7,50.05,Sikkim,Rural
40.1,5.2,54.7,Sikkim,Urban
27.65,5.15,67.2,Arunachal Pradesh,Rural
43.15,18.7,38.15,Arunachal Pradesh,Urban
35.95,2.3,61.75,Nagaland,Rural
41.6,3.3,55.1,Nagaland,Urban
22.1,4.65,73.25,Manipur,Rural
30.9,2.1,67,Manipur,Urban
19.3,11.25,69.45,Mizoram,Rural
37.75,11.05,51.2,Mizoram,Urban
46.45,1.95,51.6,Tripura,Rural
44.1,5.55,50.35,Tripura,Urban
32.55,2.35,65.1,Meghalaya,Rural
44.75,5.8,49.45,Meghalaya,Urban
29.3,9.65,61.05,Assam,Rural
39.45,9.1,51.45,Assam,Urban
26.8,11.35,61.85,West Bengal,Rural
36.95,10.95,52.1,West Bengal,Urban
24.9,7.5,67.6,Jharkhand,Rural
36.4,6.4,57.2,Jharkhand,Urban
29.75,5.65,64.6,Odisha,Rural
37.2,7.85,54.95,Odisha,Urban
30.3,10.55,59.15,Chhattisgarh,Rural
31.95,4.35,63.7,Chhattisgarh,Urban
30.55,5.75,63.7,Madhya Pradesh,Rural
38.85,6.9,54.25,Madhya Pradesh,Urban
38.25,5.95,55.8,Gujarat,Rural
39.25,4.65,56.1,Gujarat,Urban
38.15,5.4,56.45,Maharashtra,Rural
43.85,4.8,51.35,Maharashtra,Urban
37.55,11.4,51.05,Andhra Pradesh,Rural
40.9,6.7,52.4,Andhra Pradesh,Urban
36.55,8.35,55.1,Karnataka,Rural
41.4,6.45,52.15,Karnataka,Urban
46.1,3.75,50.15,Goa,Rural
47.05,9.55,43.4,Goa,Urban
49.7,8.05,42.25,Lakshadweep,Rural
47.8,3.65,48.55,Lakshadweep,Urban
44.9,14.3,40.8,Kerala,Rural
45.3,12.95,41.75,Kerala,Urban
38.55,7.8,53.65,Tamil Nadu,Rural
39.7,6.95,53.35,Tamil Nadu,Urban
47.65,5.7,46.65,Puducherry,Rural
44.15,4.75,51.1,Puducherry,Urban
47.8,10.2,42,Andaman,Rural
45.45,9.25,45.3,Andaman,Urban
36.85,10.8,52.35,Telangana,Rural
41.15,2,56.85,Telangana,Urban
43.4,5,51.6,Ladakh,Rural
37.75,3.55,58.7,Ladakh,Urban
37.52635243,1.356910602,61.11673697,Daman,Rural
36.64371161,2.138613168,61.21767522,Daman,Urban
