Number of households,Cowdung/Coal/Wood,Kerosene,Gas Cylinder,Others,State,Residence_Type
59030.0,30439.0,9232.0,18578.0,781.0,Andaman And Nicobar Islands,Rural
34346.0,1566.0,9213.0,22961.0,606.0,Andaman And Nicobar Islands,Urban
9050820.376983378,6840016.070614269,71985.4111806781,2047388.6039315916,91430.29125683941,Andhra Pradesh,Rural
3606849.0,900995.0,230653.0,2421304.0,53897.0,Andhra Pradesh,Urban
195722.9999999999,168640.99999999968,912.0,25363.0000000002,807.0000000000291,Arunachal Pradesh,Rural
65891.0,13015.999999999698,1016.9999999997999,51082.0000000001,776.0000000004002,Arunachal Pradesh,Urban
5374552.999999998,4785742.000000001,8400.9999999998,531807.0000000001,48602.999999997206,Assam,Rural
992742.0000000005,277279.9999999996,31391.000000000196,674813.9999999999,9257.000000000815,Assam,Urban
16926958.0,16022042.999999998,30023.0,573165.0,301727.00000000186,Bihar,Rural
2013671.0,1007315.0,20754.0,955215.0,30387.0,Bihar,Urban
6785.0,827.0,1222.0,4553.0,183.0,Chandigarh,Rural
228276.0,11364.0,50285.0,163791.0,2836.0,Chandigarh,Urban
4384112.0,4286574.000000001,6246.0000000006,71181.0000000004,20110.999999998137,Chhattisgarh,Rural
1238738.0,646712.0,22222.9999999999,557418.9999999999,12384.000000000233,Chhattisgarh,Urban
79115.0,13177.0,6123.0,59509.9999999999,305.00000000010186,Delhi,Rural
3261423.000000001,132171.0000000001,169320.00000000012,2944486.0,15446.000000000728,Delhi,Urban
124674.0000000001,45929.999999999905,3244.0,74186.99999999999,1313.000000000211,Goa,Rural
198139.00000000047,24974.0,10084.000000000002,160616.0,2465.0000000004657,Goa,Urban
6765403.0,5499034.0,208102.9999999998,967184.9999999998,91081.0,Gujarat,Rural
5416314.999999998,925009.0,714246.0000000003,3700211.999999999,76847.99999999872,Gujarat,Urban
2966052.9999999995,2223050.9999999995,11611.0,716261.9999999999,15129.0,Haryana,Rural
1751900.9999999998,346041.0,35679.0,1359663.0000000002,10517.999999999534,Haryana,Urban
1310538.0,855577.0,20928.0,428236.0,5797.0,Himachal Pradesh,Rural
