Number of households,Households with electricity and latrine facility,Households without electricity and latrine facility,Households with electricity facility,Households with latrine facility,State,Residence_Type
59030,33836,10474,13016,1704,Andaman,Rural
34346,29731,598,3838,179,Andaman,Urban
195723,73249,57283,35301,29890,Arunachal Pradesh,Rural
65891,57469,1112,5802,1508,Arunachal Pradesh,Urban
5374553,1278291,1926998,245930,1923334,Assam,Rural
992742,813363,41120,21316,116943,Assam,Urban
16926958,869538,13063216,885135,2109069,Bihar,Rural
2013671,1188769,470049,154993,199860,Bihar,Urban
6785,5937,149,666,33,Chandigarh,Rural
228276,199594,3222,25007,453,Chandigarh,Urban
4384112,531691,1207933,2539188,105300,Chhattisgarh,Rural
1238738,736935,68896,424127,8780,Chhattisgarh,Urban
79115,59653,1047,17713,702,Delhi,Rural
3261423,2920537,18131,312906,9849,Delhi,Urban
124674,86511,3554,32697,1912,Goa,Rural
198139,166495,2166,27058,2420,Goa,Urban
6765403,2163206,943715,3586065,72417,Gujarat,Rural
5416315,4719258,121567,544685,30805,Gujarat,Urban
2966053,1568498,286054,1016840,94661,Haryana,Rural
1751901,1549985,42144,134974,24798,Haryana,Urban
1310538,858225,30321,407672,14320,Himachal Pradesh,Rural
166043,147200,2379,15686,778,Himachal Pradesh,Urban
1467888,505041,237476,679288,46083,J & K,Rural
508211,437637,3950,60517,6107,J & K,Urban
4685965,237251,3051877,1276799,120038,Jharkhand,Rural
1495642,972468,147715,343349,32110,Jharkhand,Urban
7864196,2113996,923846,4705816,120538,Karnataka,Rural
5315715,4459190,134388,666465,55672,Karnataka,Urban
4095674,3619353,124563,152784,198974,Kerala,Rural
3620696,3451483,31960,61086,76167,Kerala,Urban
30032,22891,925,1307,4909,Ladakh,Rural
8957,8560,12,316,69,Ladakh,Urban
2523,2468,0,49,6,Lakshadweep,Rural
8180,7971,6,181,22,Lakshadweep,Urban
11122365,1241370,4425390,5237774,217831,Madhya Pradesh,Rural
3845232,2806287,231938,759213,47794,Madhya Pradesh,Urban
13016652,4447597,2912096,5157702,499257,Maharashtra,Rural
10813928,7624346,332313,2774519,82750,Maharashtra,Urban
383313,214569,35936,28773,104035,Manipur,Rural
171400,136575,2632,4616,27577,Manipur,Urban
422197,138634,115605,79105,88853,Meghalaya,Rural
116102,106721,1441,3498,4442,Meghalaya,Urban
104874,69063,13101,3075,19635,Mizoram,Rural
116203,112600,299,1417,1887,Mizoram,Urban
284911,160845,34214,53474,36378,Nagaland,Rural
115054,106677,800,5409,2168,Nagaland,Urban
8144012,882611,4984819,2012641,263941,Odisha,Rural
1517073,955131,228826,305503,27613,Odisha,Urban
95133,36785,3683,54320,345,Puducherry,Rural
206143,168559,2511,34541,532,Puducherry,Urban
3315632,2285553,100806,880841,48432,Punjab,Rural
2094067,1942201,21722,117198,12946,Punjab,Urban
9490363,1607136,3704692,3921224,257311,Rajasthan,Rural
3090940,2488558,142577,413122,46683,Rajasthan,Urban
92370,73304,4703,9973,4390,Sikkim,Rural
35761,33760,180,1541,280,Sikkim,Urban
9563899,2139615,799295,6543811,81178,Tamil Nadu,Rural
8929104,6635764,273447,1945869,74024,Tamil Nadu,Urban
48158,15698,2933,29286,241,Daman,Rural
85286,71060,655,13338,233,Daman,Urban
607779,331206,82359,30367,163847,Tripura,Rural
235002,212080,1829,3134,17959,Tripura,Urban
1404845,712571,191268,454185,46821,Uttarakhand,Rural
592223,543559,10194,27860,10610,Uttarakhand,Urban
